MaSP,TenSP,MaDM,MoTaChiTiet,GiaBan,SoLuongTon,NhaSanXuat
1,Asus ROG Strix G15,1,Laptop gaming với CPU Ryzen 7 và GPU RTX 4060.,32990000.00,10,ASUS
2,Dell XPS 13,5,"Laptop mỏng nhẹ cao cấp, màn hình 13 inch 4K.",38990000.00,8,Dell
3,HP Pavilion 15,2,"Laptop văn phòng hiệu năng tốt, pin bền.",15990000.00,15,HP
4,Acer Aspire 7,4,Laptop học tập và làm việc đa dụng.,13990000.00,12,Acer
5,MSI Creator Z16,3,Dành cho dân đồ họa với GPU RTX 4070.,49990000.00,5,MSI
6,Chuột Logitech G102,6,"Chuột quốc dân, led RGB.",400000.00,50,Logitech
7,Bàn phím Keychron K2,7,Bàn phím cơ không dây layout 75%.,1900000.00,20,Keychron
8,Màn hình LG UltraGear 27,8,Màn hình 2K 144Hz.,8500000.00,10,LG
9,Tai nghe HyperX Cloud II,6,Tai nghe gaming âm thanh vòm 7.1.,1500000.00,25,HyperX
10,Lenovo ThinkPad ***$$$,2,Bền bỉ.,25000000.00,10,Lenovo
11,Laptop Lỗi Giá,2,Test giá âm,-5000000.00,5,Dell
12,Laptop Tồn Âm,4,Test tồn kho âm,10000000.00,-10,HP
13,"  Laptop Spacer  ",1,Tên thừa khoảng trắng,20000000.00,5,Asus
